DATE,HHMSDODNS
1945-10-01,18.706
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,23.10
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,28.267
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,33.422
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,37.406
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,45.25
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,51.792
1952-01-01,53.355
1952-04-01,54.952
1952-07-01,56.621
1952-10-01,58.416
1953-01-01,60.296
1953-04-01,62.384
1953-07-01,64.182
1953-10-01,65.938
1954-01-01,67.647
1954-04-01,69.787
1954-07-01,72.314
1954-10-01,75.356
1955-01-01,78.549
1955-04-01,81.888
1955-07-01,85.009
1955-10-01,87.936
1956-01-01,90.695
1956-04-01,93.542
1956-07-01,96.143
1956-10-01,98.745
1957-01-01,101.229
1957-04-01,103.274
1957-07-01,105.36
1957-10-01,107.374
1958-01-01,109.397
1958-04-01,111.383
1958-07-01,113.984
1958-10-01,117.177
1959-01-01,120.39
1959-04-01,123.583
1959-07-01,126.952
1959-10-01,130.099
1960-01-01,133.067
1960-04-01,135.591
1960-07-01,138.517
1960-10-01,141.378
1961-01-01,144.159
1961-04-01,146.812
1961-07-01,150.111
1961-10-01,154.027
1962-01-01,157.045
1962-04-01,160.433
1962-07-01,164.277
1962-10-01,168.307
1963-01-01,171.943
1963-04-01,175.98
1963-07-01,180.606
1963-10-01,185.106
1964-01-01,189.423
1964-04-01,193.538
1964-07-01,198.039
1964-10-01,202.335
1965-01-01,206.582
1965-04-01,210.488
1965-07-01,215.034
1965-10-01,219.449
1966-01-01,224.085
1966-04-01,227.382
1966-07-01,230.3
1966-10-01,232.742
1967-01-01,234.955
1967-04-01,237.21
1967-07-01,241.614
1967-10-01,245.974
1968-01-01,250.119
1968-04-01,253.803
1968-07-01,258.28
1968-10-01,262.934
1969-01-01,265.603
1969-04-01,269.871
1969-07-01,274.629
1969-10-01,278.689
1970-01-01,277.74
1970-04-01,278.865
1970-07-01,281.771
1970-10-01,286.015
1971-01-01,291.47
1971-04-01,295.43
1971-07-01,302.126
1971-10-01,309.454
1972-01-01,317.906
1972-04-01,324.324
1972-07-01,333.264
1972-10-01,343.552
1973-01-01,353.598
1973-04-01,361.862
1973-07-01,371.042
1973-10-01,382.218
1974-01-01,392.321
1974-04-01,400.813
1974-07-01,410.404
1974-10-01,419.339
1975-01-01,427.459
1975-04-01,435.481
1975-07-01,445.509
1975-10-01,459.087
1976-01-01,474.026
1976-04-01,485.633
1976-07-01,500.528
1976-10-01,517.073
1977-01-01,536.389
1977-04-01,556.489
1977-07-01,579.584
1977-10-01,602.997
1978-01-01,627.038
1978-04-01,650.88
1978-07-01,678.732
1978-10-01,708.641
1979-01-01,740.03
1979-04-01,766.252
1979-07-01,795.664
1979-10-01,826.724
1980-01-01,860.063
1980-04-01,875.72
1980-07-01,900.209
1980-10-01,926.526
1981-01-01,944.614
1981-04-01,966.081
1981-07-01,980.80
1981-10-01,998.261
1982-01-01,1012.723
1982-04-01,1021.85
1982-07-01,1017.038
1982-10-01,1031.175
1983-01-01,1033.17
1983-04-01,1057.024
1983-07-01,1085.787
1983-10-01,1116.384
1984-01-01,1153.101
1984-04-01,1182.19
1984-07-01,1210.049
1984-10-01,1243.294
1985-01-01,1316.829
1985-04-01,1348.447
1985-07-01,1402.267
1985-10-01,1450.249
1986-01-01,1489.804
1986-04-01,1529.839
1986-07-01,1589.114
1986-10-01,1649.024
1987-01-01,1694.524
1987-04-01,1757.67
1987-07-01,1804.085
1987-10-01,1828.608
1988-01-01,1887.603
1988-04-01,1945.778
1988-07-01,1999.188
1988-10-01,2054.832
1989-01-01,2092.082
1989-04-01,2143.37
1989-07-01,2205.094
1989-10-01,2260.115
1990-01-01,2341.358
1990-04-01,2395.95
1990-07-01,2443.875
1990-10-01,2489.255
1991-01-01,2538.672
1991-04-01,2594.093
1991-07-01,2614.39
1991-10-01,2667.356
1992-01-01,2716.521
1992-04-01,2745.221
1992-07-01,2791.381
1992-10-01,2840.353
1993-01-01,2864.951
1993-04-01,2914.487
1993-07-01,2957.023
1993-10-01,2999.178
1994-01-01,3041.601
1994-04-01,3081.917
1994-07-01,3118.46
1994-10-01,3165.94
1995-01-01,3203.759
1995-04-01,3244.685
1995-07-01,3285.767
1995-10-01,3319.925
1996-01-01,3396.52
1996-04-01,3449.269
1996-07-01,3490.299
1996-10-01,3538.132
1997-01-01,3597.839
1997-04-01,3643.55
1997-07-01,3715.702
1997-10-01,3754.238
1998-01-01,3834.436
1998-04-01,3901.679
1998-07-01,3962.064
1998-10-01,4057.442
1999-01-01,4162.289
1999-04-01,4247.292
1999-07-01,4349.857
1999-10-01,4434.475
2000-01-01,4524.353
2000-04-01,4620.407
2000-07-01,4720.304
2000-10-01,4816.784
2001-01-01,4930.321
2001-04-01,5074.016
2001-07-01,5217.256
2001-10-01,5324.935
2002-01-01,5488.818
2002-04-01,5632.43
2002-07-01,5819.729
2002-10-01,6031.127
2003-01-01,6209.722
2003-04-01,6438.643
2003-07-01,6678.431
2003-10-01,6914.875
2004-01-01,7099.016
2004-04-01,7349.338
2004-07-01,7595.602
2004-10-01,7859.149
2005-01-01,8080.375
2005-04-01,8366.345
2005-07-01,8653.915
2005-10-01,8940.398
2006-01-01,9227.772
2006-04-01,9540.183
2006-07-01,9776.114
2006-10-01,9940.251
2007-01-01,10123.242
2007-04-01,10332.493
2007-07-01,10516.495
2007-10-01,10624.984
2008-01-01,10694.802
2008-04-01,10688.466
2008-07-01,10666.308
2008-10-01,10577.26
2009-01-01,10577.231
2009-04-01,10557.952
2009-07-01,10490.68
2009-10-01,10441.302
2010-01-01,10317.055
2010-04-01,10251.896
2010-07-01,10158.184
2010-10-01,9992.28
2011-01-01,9958.674
2011-04-01,9899.665
2011-07-01,9828.676
2011-10-01,9785.496
2012-01-01,9727.562
2012-04-01,9664.096
2012-07-01,9592.339
2012-10-01,9537.072
2013-01-01,9504.346
2013-04-01,9467.339
2013-07-01,9451.946
2013-10-01,9437.049
2014-01-01,9417.638
2014-04-01,9396.608
2014-07-01,9377.368
2014-10-01,9387.257
2015-01-01,9378.918
2015-04-01,9407.561
2015-07-01,9426.394
2015-10-01,9492.847
2016-01-01,9511.432
2016-04-01,9555.518
2016-07-01,9606.801
2016-10-01,9658.822
2017-01-01,9734.406
2017-04-01,9794.915
2017-07-01,9855.906
2017-10-01,9928.793
2018-01-01,9993.821
2018-04-01,10070.883
2018-07-01,10147.773
2018-10-01,10204.361
2019-01-01,10263.114
2019-04-01,10341.683
2019-07-01,10422.117
2019-10-01,10482.753
2020-01-01,10573.365
2020-04-01,10652.115
2020-07-01,10798.014
2020-10-01,10925.74
2021-01-01,11077.139
2021-04-01,11297.099
